package_name,decoy_num_processes,decoy_num_files,decoy_num_domains,decoy_num_dns,decoy_num_http_requests,decoy_num_payloads,decoy_timeline_length,decoy_num_network_ips,decoy_num_public_ips,decoy_num_private_or_local_ips,decoy_num_countries,decoy_has_processes,decoy_has_files,decoy_has_domains,decoy_has_dns,decoy_has_http_requests,decoy_has_payloads,decoy_has_network,decoy_has_timeline,decoy_has_node_process,decoy_has_execve,decoy_has_openat,decoy_has_access_ld_preload
package_567.tgz,4,0,0,0,0,0,5559,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1
package_470.tgz,1,1,27,6,0,0,100,7,4,3,2,1,1,1,1,0,0,1,1,1,1,1,1
package_233.tgz,1,0,112,0,0,0,100,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1
package_480.tgz,1,0,0,4,0,0,100,4,4,0,2,1,0,0,1,0,0,1,1,1,1,1,1
package_550.tgz,2,0,110,0,0,2,1814,7,4,3,2,1,0,1,0,0,1,1,1,1,1,1,1
package_413.tgz,1,1,23,0,0,0,100,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,1
package_149.tgz,1,0,6498,0,0,0,100,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1
package_427.tgz,1,1,23,0,0,0,100,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,1
package_259.tgz,1,0,56,0,0,0,100,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1
package_528.tgz,3,0,107,0,0,0,100,2,1,1,1,1,0,1,0,0,0,1,1,1,1,1,1
package_139.tgz,1,0,112,0,0,0,100,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1
package_236.tgz,1,0,112,0,0,0,100,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1
package_547.tgz,2,0,110,0,0,2,1810,7,4,3,2,1,0,1,0,0,1,1,1,1,1,1,1
package_562.tgz,3,0,0,0,0,0,5017,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1
package_421.tgz,1,1,23,0,0,0,100,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,1
package_277.tgz,61,61,421,0,0,0,100,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,1
